colony_id,name,reg_number,category,boundary_delineated,map_number,satellite_boundary_pdf_url,final_boundary_pdf_url,upload_date,remarks,source_link
1,Sainik Farms,,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
2,Mahendru Enclave,,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
3,Anant Ram Dairy,,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
4,Defence Service Enclave (Sainik Farm),453,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
5,"Anupam Garden, Delhi-68 South Chhatarpur",519,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
6,"KhirkiExtn. Colony Carriappa Marg, M.B. Road, New Delhi-62",738,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
7,"12- Defence Service Enclave, Khanpur, New Delhi62 South SangamVihar (ELD)",,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
8,Sainik Farms Western Avenue N.Delhi,1295,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
9,"Freedom Fighters Enclave, IGNOU Road, Neb Sarai, New Delhi-68 South Chhatarpur",143,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
10,"Freedom Fighters Colony, Neb Sarai South Chhatarpur",165,affluent,0,,,,,Inhabited by affluent section; excluded from PM-UDAY scheme under Regulation 3(1),https://dda.gov.in/sites/default/files/pmuday/2.%20List%20of%2069%20Unauthorized%20Colonies%20Inhabitated%20By%20Affluent%20Section%20of%20Society.pdf
